"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Plant Admin API Tests","4","0","","0"
"0","","0","Sales Admin API","14","0","","0"
"0","","0","Category Management UI - Admin","10","0","","0"
"0","","0","Dashboard User UI","5","0","","0"
"0","","0","Category API - User Operations","10","0","","0"
"0","","0","Dashboard API - User (Savindu R.H. - Group 28)","8","0","","0"
"0","","1","Sales Management Admin UI","7","0","","0"
"0","","0","Dashboard Admin UI","8","0","","0"
"0","","0","Sales Management User UI","3","0","","0"
"0","","0","Dashboard API - Admin (Savindu R.H. - Group 28)","10","0","","0"
"0","","0","Plant User API Tests","5","0","","0"
"0","","0","Category Admin API","7","0","","0"
"0","","0","Plant List User UI","5","0","","0"
"0","","0","Plant List Admin UI","10","0","","0"
"1","","0","","0","0","","0"
