"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","TC_PLT_API_ADMIN_03 Verify that Admin can successfully delete a plant via API","","2026-02-07","passed","2026-02-07","","Plant Admin API Tests","",""
"","112","Get sale by non-existing id should return 404","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","153","TC_CAT_UI_02 Verify Add A Category button is visible for Admin","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","98","UI_DASH_USER_005 Inventory is disabled for user also","","2026-02-07","passed","2026-02-07","","Dashboard User UI","",""
"","114","TC_CAT_API_USER_03 Verify User can view category details with all fields","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","157","TC_CAT_UI_03 Verify categories are displayed in the table","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","19","API_DASH_USER_007 User cannot create plant (RBAC)","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
"","223","TC_SALES_UI_ADMIN_08 Verify sale can be deleted successfully","","2026-02-07","passed","2026-02-07","","Sales Management Admin UI","",""
"","22","API_DASH_USER_005 User can fetch sales list (read-only)","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
"","171","Validate total price calculation for all sales","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","246","UI_DASH_ADMIN_002 Dashboard card - Manage Categories redirects correctly","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","124","TC_SALES_UI_USER_03 Verify User cannot delete sales","","2026-02-07","passed","2026-02-07","","Sales Management User UI","",""
"","103","UI_DASH_ADMIN_005 Sidebar highlights Dashboard as active","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","128","API_DASH_ADMIN_001 Admin login returns valid token","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
"","222","Successful admin login via API","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","94","TC_PLT_API_USER_04 Verify that a user is not allowed to create a new plant using the API","","2026-02-07","passed","2026-02-07","","Plant User API Tests","",""
"","143","Get sale by id successfully","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","18","API_DASH_USER_006 Inventory endpoint should be disabled/blocked for User","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
"","353","TC_PLT_API_ADMIN_04 Verify that Admin can successfully update basic plant details via API","","2026-02-07","failed","2026-02-07","","Plant Admin API Tests","",""
"","124","TC_PLT_API_USER_05 Verify that a user is not allowed to delete plants using the API","","2026-02-07","passed","2026-02-07","","Plant User API Tests","",""
"","114","Get category summary successfully","","2026-02-07","passed","2026-02-07","","Category Admin API","",""
"","115","Get main categories successfully","","2026-02-07","passed","2026-02-07","","Category Admin API","",""
"","22","API_DASH_USER_004 User can fetch plants list","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
"","98","TC_CAT_API_USER_07 Verify User can list all categories with required fields","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","118","TC_CAT_API_USER_02 Verify User can view specific category by ID","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","21","API_DASH_ADMIN_008 Admin cannot use PUT on Sales (read-only endpoint)","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
